Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
United Kingdom,Digital Advertising,Ad Spending Growth by Segment,Classifieds,percent,Statista,,7.673,-0.868,-4.861,14.661,6.336,2.626,1.702,1.652,1.792
United Kingdom,Digital Advertising,Ad Spending Growth by Segment,Search Advertising,percent,Statista,,14.336,3.943,0.366,22.5,11.914,7.764,7.51,7.37,7.022
United Kingdom,Digital Advertising,Ad Spending Growth by Segment,Video Advertising,percent,Statista,,26.237,12.788,8.965,29.087,15.169,9.837,8.457,8.439,8.796
United Kingdom,Digital Advertising,Ad Spending Share Desktop & Mobile,Digital Advertising Desktop,percent,Statista,62.86,59.23,56.348,53.697,52.11,50.561,48.88,47.38,45.581,44.634
United Kingdom,Digital Advertising,Ad Spending Share Desktop & Mobile,Digital Advertising Mobile,percent,Statista,37.14,40.77,43.652,46.303,47.89,49.439,51.12,52.62,54.419,55.366
United Kingdom,Digital Advertising,Ad Spending Growth Desktop & Mobile,Digital Advertising Desktop,percent,Statista,,-5.775,-4.865,-4.706,-2.955,-2.973,-3.324,-3.068,-3.798,-2.077
United Kingdom,Digital Advertising,Ad Spending Growth Desktop & Mobile,Digital Advertising Mobile,percent,Statista,,9.774,7.068,6.075,3.427,3.235,3.399,2.934,3.42,1.74
United Kingdom,Digital Advertising,Ad Spending Share by Industry,Automotive,percent,Statista,,,,,5.547,,,,,
United Kingdom,Digital Advertising,Ad Spending Share by Industry,Electronics & Computers,percent,Statista,,,,,1.59,,,,,
United Kingdom,Digital Advertising,Ad Spending Share by Industry,Entertainment & Media,percent,Statista,,,,,2.12,,,,,
United Kingdom,Digital Advertising,Ad Spending Share by Industry,Financial Services,percent,Statista,,,,,11.943,,,,,
United Kingdom,Digital Advertising,Ad Spending Share by Industry,FMCG,percent,Statista,,,,,6.429,,,,,
United Kingdom,Digital Advertising,Ad Spending Share by Industry,Pharma & Healthcare,percent,Statista,,,,,2.433,,,,,
United Kingdom,Digital Advertising,Ad Spending Share by Industry,Retail,percent,Statista,,,,,19.383,,,,,
United Kingdom,Digital Advertising,Ad Spending Share by Industry,Services & Other,percent,Statista,,,,,39.935,,,,,
United Kingdom,Digital Advertising,Ad Spending Share by Industry,Telecommunications,percent,Statista,,,,,4.926,,,,,
United Kingdom,Digital Advertising,Ad Spending Share by Industry,Travel,percent,Statista,,,,,5.694,,,,,
United Kingdom,Digital Advertising,Ad Spending Share (Non-)Programmatic,Non-Programmatic,percent,Statista,22.816,21.237,19.721,18.058,17.485,16.544,15.635,14.722,13.881,13.027
United Kingdom,Digital Advertising,Ad Spending Share (Non-)Programmatic,Programmatic,percent,Statista,77.184,78.763,80.279,81.942,82.515,83.456,84.365,85.278,86.119,86.973
United Kingdom,Digital Advertising,Ad Spending Growth (Non-)Programmatic,Non-Programmatic,percent,Statista,,-6.922,-7.138,-8.431,-3.172,-5.385,-5.491,-5.842,-5.712,-6.153
United Kingdom,Digital Advertising,Ad Spending Growth (Non-)Programmatic,Programmatic,percent,Statista,,2.046,1.925,2.071,0.699,1.141,1.088,1.083,0.986,0.992
United Kingdom,Digital Advertising,Average Ad Spending per Internet User by Segment,Total,USD (US$),Statista,285.353,329.498,346.117,360.026,432.919,475.626,504.225,531.981,560.578,591.647
United Kingdom,Digital Advertising,Average Ad Spending per Internet User by Segment,Banner Advertising,USD (US$),Statista,79.658,96.582,105.548,119.083,139.734,150.182,156.414,161.802,166.462,172.063
United Kingdom,Digital Advertising,Average Ad Spending per Internet User by Segment,Classifieds,USD (US$),Statista,28.551,30.07,29.258,27.408,31.029,32.652,33.221,33.54,33.879,34.291
United Kingdom,Digital Advertising,Average Ad Spending per Internet User by Segment,Search Advertising,USD (US$),Statista,136.449,152.597,155.684,153.852,186.086,206.094,220.183,234.994,250.713,266.805
United Kingdom,Digital Advertising,Average Ad Spending per Internet User by Segment,Social Media Advertising,USD (US$),Statista,56.302,75.829,90.34,108.358,131.309,147.862,160.485,172.567,184.621,199.194
United Kingdom,Digital Advertising,Average Ad Spending per Internet User by Segment,Video Advertising,USD (US$),Statista,40.696,50.249,55.628,59.684,76.07,86.698,94.407,101.645,109.525,118.487
United Kingdom,Digital Advertising,Ad Spending Social Media,Social Media Advertising,million USD (US$),Statista,"3,303.494","4,548.735","5,521.198","6,725.699","8,254.644","9,392.775","10,283.183","11,138.468","11,992.568","13,012.506"
United Kingdom,Digital Advertising,Ad Spending Change,Social Media Advertising,percent,Statista,,37.695,21.379,21.816,22.733,13.788,9.48,8.317,7.668,8.505
United Kingdom,Digital Advertising,Share from Digital,Non-Social Media Share,percent,Statista,80.269,76.986,73.899,69.903,69.669,68.912,68.172,67.561,67.066,66.332
United Kingdom,Digital Advertising,Share from Digital,Social Media Share,percent,Statista,19.731,23.014,26.101,30.097,30.331,31.088,31.828,32.439,32.934,33.668
